ensid_gene	gene	fc	log2fc	pvalue	fdr	gsea_ranking_score
ENSMUSG00000000001.4|Gnai3	Gnai3	-1.08353946720205	-0.115751703592798	0.0863699774259438	0.106531561524469	-1.06363719391145
ENSMUSG00000000028.15|Cdc45	Cdc45	-1.7517554772227	-0.808801407120439	2.38620413085492e-10	1.00046044736489e-09	-9.6222924068049
ENSMUSG00000000056.7|Narf	Narf	1.29688267452779	0.375047968769907	7.39448193781592e-05	0.000137125074184617	4.13109224755339
ENSMUSG00000000058.6|Cav2	Cav2	-2.18779959694192	-1.12948059291135	2.21864601466459e-16	3.25134905253677e-15	-15.6539119839966
ENSMUSG00000000078.7|Klf6	Klf6	-3.65196798470408	-1.86867411786564	1.80612260486804e-22	1.61051834628854e-20	-21.7432527718462
ENSMUSG00000000085.16|Scmh1	Scmh1	-1.02283150622904	-0.0325685056416765	0.75927843884247	0.786727101171703	-0.119598932566032
ENSMUSG00000000088.7|Cox5a	Cox5a	-1.05305228900594	-0.0745770747459895	0.301867406474753	0.340108764269143	-0.520183776517552
ENSMUSG00000000126.11|Wnt9a	Wnt9a	-3.41609145792782	-1.77234660028997	7.49900531711553e-05	0.000139044481572992	-4.12499633846649
ENSMUSG00000000127.15|Fer	Fer	-2.13870398097928	-1.09673681222386	8.69319380113452e-14	6.8754343784857e-13	-13.0608206383519
ENSMUSG00000000131.15|Xpo6	Xpo6	-1.32304718152013	-0.403864510846664	1.81129283091035e-06	4.16649268118528e-06	-5.74201133181306
ENSMUSG00000000134.17|Tfe3	Tfe3	-1.06530928845353	-0.0912723451351649	0.201382163112126	0.234304694809716	-0.695978998554143
ENSMUSG00000000148.17|Brat1	Brat1	1.21900112973553	0.285699463007417	0.00397014187465728	0.00589643431264416	2.40119397326715
ENSMUSG00000000149.10|Gna12	Gna12	-1.27268384157093	-0.347874071362249	6.63636018353154e-05	0.000123840599075258	-4.1780700509968
ENSMUSG00000000154.16|Slc22a18	Slc22a18	2.69429832286184	1.4299096002751	4.1019866053237e-14	3.50428323459181e-13	13.3870057621158
ENSMUSG00000000159.16|Igsf5	Igsf5	2.04747276075163	1.03384425861112	9.55131138027922e-09	3.03820333786779e-08	8.01993699636184
ENSMUSG00000000167.14|Pih1d2	Pih1d2	-1.36347068135956	-0.447283678388904	0.070441184503137	0.0880466404192669	-1.1521733497682
ENSMUSG00000000168.9|Dlat	Dlat	-1.22239639670097	-0.289712195811802	0.000219942622168299	0.000382593037644027	-3.65769060156771
ENSMUSG00000000171.5|Sdhd	Sdhd	1.35012377305484	0.433091672896162	2.02324454938992e-07	5.29505570445553e-07	6.69395162092086
ENSMUSG00000000184.12|Ccnd2	Ccnd2	1.00844303818188	0.0121295957472007	0.851752933661717	0.869990662120746	0.0696863619327867
ENSMUSG00000000194.13|Gpr107	Gpr107	1.13160203090682	0.17836667108025	0.0124542905845932	0.0173222434953211	1.90468100549971
ENSMUSG00000000204.16|Slfn4	Slfn4	-6.58831271865028	-2.7199090351703	7.58857062856201e-13	4.94715296129822e-12	-12.1198400194389
ENSMUSG00000000223.13|Drp2	Drp2	-2.97424511456947	-1.57252354819795	3.29190531114233e-05	6.36951697063038e-05	-4.48255266539167
ENSMUSG00000000244.17|Tspan32	Tspan32	7.128308874455	2.8335598511682	7.30061309530901e-16	9.45890450705611e-15	15.136640666903
ENSMUSG00000000266.11|Mid2	Mid2	2.13116367737831	1.09164139906801	8.19171779833895e-13	5.31935297109654e-12	12.0866250173955
ENSMUSG00000000275.16|Trim25	Trim25	1.03145102169554	0.0446753166828735	0.50095669771034	0.542037610188133	0.300199812572305
ENSMUSG00000000276.11|Dgke	Dgke	-3.14610743065254	-1.65356793554171	6.04989286882388e-15	6.31512535649305e-14	-14.2182523157427
ENSMUSG00000000278.10|Scpep1	Scpep1	-1.4217490190713	-0.507666808910189	6.96796281525203e-09	2.26342658782103e-08	-8.15689417562008
ENSMUSG00000000282.12|Mnt	Mnt	-1.52613965870992	-0.609886990815224	2.95464915531208e-09	1.02232509322655e-08	-8.52949408126599
ENSMUSG00000000290.13|Itgb2	Itgb2	-3.28728013889025	-1.71689440675786	2.95316760539049e-12	1.72844554441624e-11	-11.5297119041929
ENSMUSG00000000295.13|Hddc2	Hddc2	-1.15199564582034	-0.204135263858984	0.0330878298140444	0.0434263840455034	-1.48033171669307
ENSMUSG00000000296.8|Tpd52l1	Tpd52l1	-3.08375334913752	-1.62468737737792	9.28814168052506e-20	3.46224363244272e-18	-19.0320711685278
ENSMUSG00000000301.16|Pemt	Pemt	-1.37267458397934	-0.456989650449686	0.0263406592950375	0.0351251700481084	-1.57937335903963
ENSMUSG00000000303.12|Cdh1	Cdh1	-1.01314310104881	-0.0188379614961196	0.769452889754416	0.796060193745317	-0.113817964976122
ENSMUSG00000000308.14|Ckmt1	Ckmt1	18.1009435768923	4.17799299983239	4.64025340203902e-19	1.3883109027197e-17	18.3334583021817
ENSMUSG00000000317.11|Bcl6b	Bcl6b	-1.83727670211773	-0.877568919160816	1.4634542373978e-05	2.96670225272187e-05	-4.83462085352151
ENSMUSG00000000325.16|Arvcf	Arvcf	-2.18827581706966	-1.12979459134802	1.62002400823629e-08	4.96785514595813e-08	-7.79047854930473
ENSMUSG00000000326.13|Comt	Comt	-1.1960444885415	-0.258271053586596	0.000853837203057573	0.00137889452667075	-3.06862492621207
ENSMUSG00000000339.14|Rtca	Rtca	-1.19158850340665	-0.252886109466925	0.00686872025434711	0.00988605870134588	-2.16312417098234
ENSMUSG00000000340.10|Dbt	Dbt	-1.12243871751544	-0.166636679398432	0.0311096542257	0.0410076340677512	-1.50710481591492
ENSMUSG00000000346.9|Dazap2	Dazap2	1.61420642115566	0.690825079071467	1.08214870446034e-11	5.68055204884664e-11	10.9657130561527
ENSMUSG00000000355.13|Mcts1	Mcts1	1.07619191413394	0.105935372393442	0.247804393192666	0.284363305267688	0.60589099851516
ENSMUSG00000000374.8|Trappc10	Trappc10	-1.55972950039493	-0.641295848140925	8.54092947437993e-10	3.2322857370032e-09	-9.06849486424907
ENSMUSG00000000378.15|Ccm2	Ccm2	-1.614833699209	-0.691385599173079	2.46540549764405e-09	8.65333861702027e-09	-8.60811163991374
ENSMUSG00000000384.15|Tbrg4	Tbrg4	-1.36000647459584	-0.443613519744057	1.93613697327719e-06	4.44019444048087e-06	-5.71306392149344
