"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030545","GO:0030545","receptor regulator activity","22/188","185/11160",4.76312444490586e-13,1.42032245507612e-10,1.15547445681947e-10,"Fst/Ltb/Tnf/Il23a/Bmp2/Ngf/Sema3a/Nppb/Pf4/Cxcl3/Cxcl1/Wnt7a/Fgf21/Ccl2/Ccn3/Vgf/Saa3/Angptl8/Adm2/Prl2c5/Prl2c3/Cxcl2",22
"GO:0048018","GO:0048018","receptor ligand activity","21/188","170/11160",7.86882246579565e-13,1.42032245507612e-10,1.15547445681947e-10,"Ltb/Tnf/Il23a/Bmp2/Ngf/Sema3a/Nppb/Pf4/Cxcl3/Cxcl1/Wnt7a/Fgf21/Ccl2/Ccn3/Vgf/Saa3/Angptl8/Adm2/Prl2c5/Prl2c3/Cxcl2",21
"GO:0005125","GO:0005125","cytokine activity","10/188","75/11160",4.64938673318052e-07,5.1527880450162e-05,4.19194595293634e-05,"Ltb/Tnf/Il23a/Bmp2/Pf4/Cxcl3/Cxcl1/Wnt7a/Ccl2/Cxcl2",10
"GO:0005126","GO:0005126","cytokine receptor binding","14/188","162/11160",5.70946043769108e-07,5.1527880450162e-05,4.19194595293634e-05,"Tff2/Ltb/Tnf/Il23a/Bmp2/Ngf/Pf4/Cxcl3/Cxcl1/Ccl2/Prl2c5/Prl2c3/Cxcl2/Ceacam1",14
"GO:0015318","GO:0015318","inorganic molecular entity transmembrane transporter activity","21/188","362/11160",7.50282617259195e-07,5.41704049661139e-05,4.4069231624277e-05,"Atp1a2/Slc38a3/Kcnab3/Otop3/Gabrp/Slc26a4/Slc10a2/Chrna1/Snap25/Clca1/Aqp3/Cox6a2/Slc2a6/Atp13a4/Abcc8/Slc26a9/Slc39a8/Slc14a1/Xntrpc/Ceacam1/Kcnj11",21
"GO:0005179","GO:0005179","hormone activity","6/188","25/11160",2.86274637887977e-06,0.000172241907129266,0.000140123901703062,"Nppb/Vgf/Angptl8/Adm2/Prl2c5/Prl2c3",6
"GO:0022838","GO:0022838","substrate-specific channel activity","12/188","142/11160",4.74577773093685e-06,0.000244746537266886,0.000199108569463365,"Kcnab3/Otop3/Gabrp/Chrna1/Snap25/Clca1/Aqp3/Abcc8/Slc26a9/Slc14a1/Xntrpc/Kcnj11",12
"GO:0042379","GO:0042379","chemokine receptor binding","6/188","31/11160",1.09417399853051e-05,0.000395267209290761,0.000321561601959826,"Tff2/Pf4/Cxcl3/Cxcl1/Ccl2/Cxcl2",6
"GO:0015267","GO:0015267","channel activity","12/188","154/11160",1.09492301742593e-05,0.000395267209290761,0.000321561601959826,"Kcnab3/Otop3/Gabrp/Chrna1/Snap25/Clca1/Aqp3/Abcc8/Slc26a9/Slc14a1/Xntrpc/Kcnj11",12
"GO:0022803","GO:0022803","passive transmembrane transporter activity","12/188","154/11160",1.09492301742593e-05,0.000395267209290761,0.000321561601959826,"Kcnab3/Otop3/Gabrp/Chrna1/Snap25/Clca1/Aqp3/Abcc8/Slc26a9/Slc14a1/Xntrpc/Kcnj11",12
"GO:0008009","GO:0008009","chemokine activity","5/188","20/11160",1.62385136081137e-05,0.000532918492048097,0.000433545004465429,"Pf4/Cxcl3/Cxcl1/Ccl2/Cxcl2",5
"GO:0022857","GO:0022857","transmembrane transporter activity","22/188","497/11160",3.17659558520797e-05,0.000955625838550065,0.00077742997216932,"Atp1a2/Slc38a3/Kcnab3/Otop3/Gabrp/Slc26a4/Slc10a2/Chrna1/Snap25/Clca1/Aqp3/Cox6a2/Gc/Slc2a6/Atp13a4/Abcc8/Slc26a9/Slc39a8/Slc14a1/Xntrpc/Ceacam1/Kcnj11",22
"GO:0015075","GO:0015075","ion transmembrane transporter activity","19/188","398/11160",4.1376595186726e-05,0.00114899622018524,0.000934742514744661,"Atp1a2/Slc38a3/Kcnab3/Otop3/Gabrp/Slc26a4/Slc10a2/Chrna1/Snap25/Clca1/Cox6a2/Slc2a6/Atp13a4/Abcc8/Slc26a9/Slc39a8/Xntrpc/Ceacam1/Kcnj11",19
"GO:0005216","GO:0005216","ion channel activity","10/188","136/11160",9.8204537547792e-05,0.00253227414676806,0.00206008014855894,"Kcnab3/Otop3/Gabrp/Chrna1/Snap25/Clca1/Abcc8/Slc26a9/Xntrpc/Kcnj11",10
"GO:0004867","GO:0004867","serine-type endopeptidase inhibitor activity","5/188","33/11160",0.000208111401783435,0.00500854773625468,0.00407460218228621,"Serpinf1/Papln/Serpinb9b/Pzp/Serpinb6c",5
"GO:0008324","GO:0008324","cation transmembrane transporter activity","14/188","279/11160",0.000264704807171452,0.00566239837696495,0.00460652907763004,"Atp1a2/Slc38a3/Kcnab3/Otop3/Slc10a2/Chrna1/Snap25/Cox6a2/Slc2a6/Atp13a4/Abcc8/Slc39a8/Xntrpc/Kcnj11",14
"GO:0022890","GO:0022890","inorganic cation transmembrane transporter activity","13/188","246/11160",0.000266650339081452,0.00566239837696495,0.00460652907763004,"Atp1a2/Kcnab3/Otop3/Slc10a2/Chrna1/Snap25/Cox6a2/Slc2a6/Atp13a4/Abcc8/Slc39a8/Xntrpc/Kcnj11",13
