"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048018","GO:0048018","receptor ligand activity","87/2643","183/11492",1.93184816134867e-13,1.75025443418189e-10,1.5048080414716e-10,"Wnt9a/Pdgfb/Sema4f/Il11/Pgf/Il19/Mapt/Csf2/Ccl9/Tgfb3/Sema3g/Wnt5a/Wnt7b/Thpo/Prl2a1/Npff/Vegfa/Tslp/Hbegf/Sema4g/Il6/Pdgfa/Ccl20/Il1rn/Il1f6/Fbn1/Jag1/Egf/Edn2/Ppbp/Cxcl15/Ereg/Areg/Gpnmb/Tgfa/Gkn1/Pglyrp1/Vegfd/Vegfc/Slit2/Il34/Cx3cl1/Agt/Apoa1/Lif/Sema3f/Cxcl10/Ccl5/Ccl7/Gpi1/Fgf1/Wnt4/Apln/Fgf2/Csf3/Sema7a/Gdf15/Sema6c/Bmp6/Il18/Tgfb2/Cdnf/Il7/Osgin2/Inhba/Fgf11/Qrfp/Cdc42ep2/Erfe/Bdnf/Efna5/Tnfsf15/Tafa5/Cxcl17/Ttr/Nrg1/Sema3e/S100a7a/Scgb3a1/Tnfsf18/Prl6a1/Grem1/Apela/Prl2c2/Btc/Tnfsf13/Tnfsf12",87
"GO:0005539","GO:0005539","glycosaminoglycan binding","60/2643","110/11492",6.55676680710727e-13,2.97021536361959e-10,2.55368812487336e-10,"Apoe/Ccn4/Fgfr4/Aplp1/Sulf2/Chrd/Pcolce2/Ager/Anxa6/Ccdc80/Fstl1/Vegfa/Hbegf/Slit1/Nrp1/Nrp2/Serpine2/Cfh/Lamc2/Eng/Col5a1/Fbn1/Thbs3/Ccn1/Tgfbr3/Pcolce/Aoc1/Gpnmb/Anxa4/Reg3g/Pglyrp1/Acan/Itgam/Lyve1/Fgfr2/Slit2/Fgfr1/Adgrg1/Aplp2/Ltf/Mamdc2/Tnxb/Cxcl10/Ccl5/Ccl7/Fgf1/Fgf2/Ncam1/Eva1c/Prelp/Stab1/Egflam/Liph/Rtn4rl1/Ndnf/Lgr4/Lrtm2/Nod2/Layn/Ang",60
"GO:0038023","GO:0038023","signaling receptor activity","130/2643","321/11492",9.86729035784692e-13,2.97992168806977e-10,2.56203328589709e-10,"Itgb2/Acvr1b/Fgfr4/Il5ra/Ephb3/Inpp5k/Epha2/Gprc5b/Adgrl1/Trpv4/Ager/Notch4/Erbb3/Ros1/Cry1/Lgr5/Bdkrb2/F2rl1/Chrna2/Fzd6/Vdr/Il1rap/Nectin3/Adgrg7/Nr1i2/Nr4a1/Il15ra/Ptk7/Nr3c1/Lrp5/Crcp/Nrp1/Paqr8/Nrp2/Nr5a2/Pigr/Ddr2/Mrc1/Cubn/Eng/Nr4a2/Grin1/Lrp2/P2rx3/P2ry1/Egf/F3/Rorc/Ephb2/Adgrb2/Tnfrsf9/Agtrap/Pdgfra/Tgfbr3/Antxr2/P2rx7/P2rx4/Ephb4/Plxna4/Epha1/Ephb6/Reg3g/Clec2d/Tnfrsf1a/Pglyrp1/Il4ra/Lyve1/Fgfr2/Adgrg2/Gabre/Plxnb3/Adgra2/Fgfr1/Tlr3/Adgrg1/Grik4/Stra6/Neo1/Ctsh/Antxr1/Eda2r/Ptprh/Nlrp6/Ptger4/Lrp1/Olfr56/Pvr/Cd79b/Chrnb1/Adgrf1/Adora1/Lgr6/Gpr153/Flt3/Il17re/Ackr3/Tlr1/Fzd5/Rtn4rl1/Plaur/Ar/Nr1h4/Ccr4/Sstr2/P2ry6/Mrgpre/Gpr55/Fzd4/Lgr4/Adra1b/Nlgn2/Gpr141/Ptprt/Ffar4/Pla2r1/Gucy2g/Paqr3/Ghr/Thra/Ptk2b/Calcrl/Fcrl1/Adgrg3/Tnfrsf19/Sphk1/Erbb2/Vmn1r43/Sort1/Vmn2r3/Vmn2r29",130
"GO:0008201","GO:0008201","heparin binding","48/2643","81/11492",2.24760500426297e-12,5.09082533465562e-10,4.37691500830157e-10,"Apoe/Ccn4/Fgfr4/Aplp1/Chrd/Pcolce2/Ager/Ccdc80/Fstl1/Vegfa/Hbegf/Slit1/Nrp1/Nrp2/Serpine2/Cfh/Lamc2/Col5a1/Fbn1/Thbs3/Ccn1/Tgfbr3/Pcolce/Aoc1/Gpnmb/Anxa4/Itgam/Fgfr2/Slit2/Fgfr1/Adgrg1/Aplp2/Ltf/Tnxb/Cxcl10/Ccl5/Ccl7/Fgf1/Fgf2/Ncam1/Eva1c/Prelp/Liph/Rtn4rl1/Ndnf/Lgr4/Lrtm2/Ang",48
"GO:0030545","GO:0030545","receptor regulator activity","89/2643","197/11492",3.77654941778784e-12,6.84310754503157e-10,5.8834664613958e-10,"Wnt9a/Pdgfb/Sema4f/Il11/Pgf/Il19/Mapt/Csf2/Ccl9/Tgfb3/Sema3g/Wnt5a/Wnt7b/Ly6e/Lynx1/Thpo/Prl2a1/Npff/Vegfa/Tslp/Hbegf/Sema4g/Il6/Pdgfa/Ccl20/Il1rn/Il1f6/Fbn1/Jag1/Egf/Edn2/Ppbp/Cxcl15/Ereg/Areg/Gpnmb/Tgfa/Gkn1/Pglyrp1/Vegfd/Vegfc/Slit2/Il34/Cx3cl1/Agt/Apoa1/Lif/Sema3f/Cxcl10/Ccl5/Ccl7/Gpi1/Fgf1/Wnt4/Apln/Fgf2/Csf3/Sema7a/Gdf15/Sema6c/Bmp6/Il18/Tgfb2/Cdnf/Il7/Osgin2/Inhba/Fgf11/Qrfp/Cdc42ep2/Erfe/Bdnf/Efna5/Tnfsf15/Tafa5/Cxcl17/Ttr/Nrg1/Sema3e/S100a7a/Scgb3a1/Tnfsf18/Prl6a1/Grem1/Apela/Prl2c2/Btc/Tnfsf13/Tnfsf12",89
"GO:0004888","GO:0004888","transmembrane signaling receptor activity","98/2643","232/11492",3.86372196167777e-11,5.83422016213343e-09,5.01606009059921e-09,"Itgb2/Acvr1b/Fgfr4/Il5ra/Ephb3/Inpp5k/Epha2/Gprc5b/Adgrl1/Trpv4/Erbb3/Ros1/Lgr5/Bdkrb2/F2rl1/Chrna2/Fzd6/Il1rap/Adgrg7/Il15ra/Lrp5/Crcp/Nrp1/Nrp2/Pigr/Ddr2/Mrc1/Eng/Grin1/P2rx3/P2ry1/Egf/F3/Ephb2/Adgrb2/Agtrap/Pdgfra/Tgfbr3/Antxr2/P2rx7/P2rx4/Ephb4/Plxna4/Epha1/Ephb6/Reg3g/Clec2d/Tnfrsf1a/Il4ra/Lyve1/Fgfr2/Adgrg2/Gabre/Plxnb3/Adgra2/Fgfr1/Tlr3/Adgrg1/Grik4/Ctsh/Antxr1/Ptprh/Nlrp6/Ptger4/Olfr56/Cd79b/Chrnb1/Adgrf1/Adora1/Lgr6/Gpr153/Flt3/Il17re/Ackr3/Tlr1/Fzd5/Ccr4/Sstr2/P2ry6/Mrgpre/Gpr55/Fzd4/Lgr4/Adra1b/Gpr141/Ptprt/Ffar4/Pla2r1/Ghr/Ptk2b/Calcrl/Adgrg3/Sphk1/Erbb2/Vmn1r43/Sort1/Vmn2r3/Vmn2r29",98
"GO:0060089","GO:0060089","molecular transducer activity","136/2643","365/11492",3.1819792197875e-10,4.11839024732497e-08,3.54084905660564e-08,"Itgb2/Acvr1b/Fgfr4/Il5ra/Ephb3/Inpp5k/Epha2/Gprc5b/Adgrl1/Trpv4/Ager/Notch4/Erbb3/Ros1/Cdk17/Cry1/Lgr5/Bdkrb2/F2rl1/Chrna2/Fzd6/Vdr/Il1rap/Nectin3/Adgrg7/Nr1i2/Nr4a1/Il15ra/Ptk7/Nr3c1/Lrp5/Crcp/Nrp1/Paqr8/Nrp2/Nr5a2/Pigr/Ddr2/Mrc1/Cubn/Eng/Nr4a2/Grin1/Lrp2/P2rx3/P2ry1/Egf/F3/Rorc/Prkaa2/Ephb2/Adgrb2/Tnfrsf9/Agtrap/Pdgfra/Tgfbr3/Prkg2/Antxr2/P2rx7/P2rx4/Ephb4/Plxna4/Epha1/Ephb6/Reg3g/Clec2d/Tnfrsf1a/Pglyrp1/Il4ra/Lyve1/Fgfr2/Adgrg2/Gabre/Plxnb3/Adgra2/Fgfr1/Tlr3/Adgrg1/Grik4/Stra6/Neo1/Ctsh/Antxr1/Eda2r/Ptprh/Prkx/Nlrp6/Ptger4/Lrp1/Cdk6/Olfr56/Pvr/Cd79b/Chrnb1/Adgrf1/Adora1/Lgr6/Gpr153/Flt3/Il17re/Ackr3/Tlr1/Fzd5/Rtn4rl1/Plaur/Ar/Nr1h4/Ccr4/Sstr2/P2ry6/Mrgpre/Gpr55/Fzd4/Lgr4/Adra1b/Nlgn2/Gpr141/Ptprt/Ffar4/Pla2r1/Gucy2g/Paqr3/Ghr/Mok/Thra/Ptk2b/Calcrl/Fcrl1/Adgrg3/Tnfrsf19/Sphk1/Erbb2/Vmn1r43/Sort1/Vmn2r3/Vmn2r29",136
"GO:0005509","GO:0005509","calcium ion binding","117/2643","303/11492",4.7366137829066e-10,5.36421510914172e-08,4.61196605177747e-08,"S100a4/S100a3/Aif1l/Scin/Nid1/Rcn1/Ihh/Sulf2/Nol3/Egfl8/Notch4/Col20a1/Anxa6/Calm3/Reps1/Enpp3/Itsn2/Mctp1/Nid2/Anxa8/Lcp1/Matn2/Fstl1/Pros1/Rgn/Efhb/Guca1b/Proc/Aif1/Anxa1/Cemip2/Efemp2/Plcb3/Slit1/Habp2/Padi1/Padi4/Adam8/Vil1/Ncl/Tnnt2/Efcab2/Cubn/Slc25a25/Gsn/Gca/Grin1/Lrp2/Prrg4/Pamr1/Fbn1/Jag1/Dll4/S100a11/Egf/Thbs3/Asph/Cdh17/Pitpnm2/Psph/Anxa3/Cabp1/Aoc1/Hpgds/Anxa4/Creld1/Itpr2/Cib1/Acan/Slit2/Cdh16/Ldlr/Calml4/Mctp2/Loxl2/Edil3/Cdhr2/Man1c1/Tgm2/Crp/Fkbp14/Itln1/Trpm4/Edem2/C1s1/Micu3/Capsl/Dag1/Clstn1/Lrp1/Ltbp4/Cblc/Efhd2/S100g/Stab1/S100a14/Egflam/Capn13/S100a1/Cetn4/Hpcal4/Ccbe1/Slc25a23/Dlk2/Cracr2b/Syt12/Mmp13/Ncald/Pcdh15/Anxa13/C1ra/Fat2/Ppef1/Ncs1/S100a7a/Efcab7/Tnnc1",117
"GO:1901681","GO:1901681","sulfur compound binding","67/2643","153/11492",8.35913938970038e-09,8.41486698563171e-07,7.23481069985764e-07,"Apoe/Gstm7/Ccn4/Fgfr4/Aplp1/Chrd/Mgst1/Pcolce2/Ager/Anxa6/Hacl1/Ccdc80/Fstl1/Soat2/Vegfa/Hbegf/Pcx/Slit1/Nrp1/Nrp2/Serpine2/Cfh/Dbi/Lamc2/Col5a1/Fbn1/Thbs3/Ccn1/Scp2/Tgfbr3/Acads/Pcolce/Aoc1/Gpnmb/Anxa4/Slc6a6/Sult1a1/Itgam/Fgfr2/Slit2/Fgfr1/Adgrg1/Aplp2/Gsta4/Ltf/Tnxb/Pank1/Cxcl10/Ccl5/Ccl7/Fgf1/Fgf2/Gstp2/Ncam1/Eva1c/Gstm2/Prelp/Liph/Rtn4rl1/Ndnf/Lgr4/Lrtm2/Gstm1/Hadhb/Acadm/Ang/Grem1",67
"GO:0005125","GO:0005125","cytokine activity","40/2643","80/11492",1.13875933711467e-07,1.03171595942589e-05,8.87033588910374e-06,"Il11/Il19/Csf2/Ccl9/Tgfb3/Wnt5a/Thpo/Vegfa/Tslp/Il6/Ccl20/Il1rn/Il1f6/Ppbp/Cxcl15/Areg/Pglyrp1/Il34/Cx3cl1/Lif/Cxcl10/Ccl5/Ccl7/Gpi1/Fgf2/Csf3/Gdf15/Bmp6/Il18/Tgfb2/Il7/Inhba/Tnfsf15/Tafa5/Cxcl17/Scgb3a1/Tnfsf18/Grem1/Tnfsf13/Tnfsf12",40
