"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-MMU-166658","R-MMU-166658","Complement cascade","17/1323","22/5909",6.71734941968046e-08,3.04631641626683e-05,2.75693590945843e-05,"18636/69379/19128/12266/93721/12628/13136/12269/14133/545366/12520/12944/12267/246228/50909/12630/12268",17
"R-MMU-375276","R-MMU-375276","Peptide ligand-binding receptors","25/1323","41/5909",1.08288749061834e-07,3.04631641626683e-05,2.75693590945843e-05,"20308/12062/14063/54615/12266/16952/20297/13615/57349/56744/330122/20312/15945/20304/30878/12267/227717/208990/12778/12773/20606/19065/14062/230857/20310",25
"R-MMU-373076","R-MMU-373076","Class A/1 (Rhodopsin-like receptors)","30/1323","54/5909",1.11450600595128e-07,3.04631641626683e-05,2.75693590945843e-05,"20308/12062/14063/54615/12266/16952/20297/18441/13615/57349/56744/330122/20312/15945/20304/30878/19219/12267/11539/227717/208990/12778/12773/20606/19065/14062/233571/227326/230857/20310",30
"R-MMU-372790","R-MMU-372790","Signaling by GPCR","87/1323","237/5909",2.32669419450185e-07,3.99500416696196e-05,3.61550441297584e-05,"56077/11816/11813/14773/20111/109689/20308/12315/104111/12062/18755/14063/15529/11514/18574/54615/20112/107477/12266/50782/20662/15200/16952/18797/18584/20970/20297/19735/13136/19734/19737/241452/14725/18441/13615/18710/665270/57349/56744/330122/14187/16653/16439/14681/20312/110385/170752/11806/20897/19660/105387/14733/380921/15945/20304/70335/30878/19219/16971/18356/12267/11539/227717/17392/208990/12778/19659/17384/12773/20606/19065/14062/233571/227326/223780/107221/11852/230857/20310/54598/19049/545156/22139/237178/20148/432720/207728",87
"R-MMU-388396","R-MMU-388396","GPCR downstream signalling","85/1323","231/5909",2.85402355889262e-07,3.99500416696196e-05,3.61550441297584e-05,"56077/11816/11813/14773/20111/109689/20308/12315/104111/12062/18755/14063/15529/11514/18574/54615/20112/107477/12266/50782/20662/15200/16952/18797/18584/20970/20297/19735/19734/19737/241452/14725/18441/13615/18710/665270/57349/56744/330122/14187/16653/16439/14681/20312/110385/170752/11806/20897/19660/105387/14733/380921/15945/20304/70335/30878/19219/16971/18356/12267/11539/227717/17392/208990/12778/19659/17384/12773/20606/19065/14062/233571/227326/223780/107221/11852/20310/54598/19049/545156/22139/237178/20148/432720/207728",85
"R-MMU-381426","R-MMU-381426","Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","36/1323","73/5909",3.41036941082119e-07,3.99500416696196e-05,3.61550441297584e-05,"16777/11816/19672/75761/16009/71853/208659/105348/15529/30060/14314/12266/19123/18453/16193/269181/75396/14067/14118/13010/16007/21923/17304/11804/11806/22041/104009/29817/16425/381677/76453/246228/239552/223672/56047/12268",36
"R-MMU-8957275","R-MMU-8957275","Post-translational protein phosphorylation","36/1323","73/5909",3.41036941082119e-07,3.99500416696196e-05,3.61550441297584e-05,"16777/11816/19672/75761/16009/71853/208659/105348/15529/30060/14314/12266/19123/18453/16193/269181/75396/14067/14118/13010/16007/21923/17304/11804/11806/22041/104009/29817/16425/381677/76453/246228/239552/223672/56047/12268",36
"R-MMU-977606","R-MMU-977606","Regulation of Complement cascade","14/1323","18/5909",9.12711424060955e-07,9.35529209662479e-05,8.46659939424965e-05,"18636/69379/19128/12266/93721/12628/13136/12269/545366/12520/12267/50909/12630/12268",14
"R-MMU-382551","R-MMU-382551","Transport of small molecules","125/1323","385/5909",1.5968658232676e-06,0.000145492219453271,0.000131671392444873,"18400/20500/12994/27060/57875/11816/11813/20527/11826/117591/15368/11979/20533/330064/70129/98660/232910/70377/17254/63873/18830/20499/20520/12315/72472/20393/71279/55963/27404/76408/114304/22598/67760/12724/59033/223920/105727/27410/20532/16889/18453/12780/11982/53945/226999/110895/72017/381290/11931/56017/73649/269346/20515/12349/26570/65973/23844/11828/14664/230612/20544/20531/56325/50765/74340/12723/21366/20276/30962/17364/56636/22232/15203/11989/11666/50770/11806/16835/64008/22041/252972/170756/22063/11928/381038/404545/338365/69847/227659/21402/78339/74772/75607/224079/68667/14628/223473/108115/78506/213603/268512/20539/216440/12638/11987/320718/171504/66333/246788/76184/231549/624219/320635/74591/67547/319767/17178/12323/72027/108096/70701/433926/12990/67204/16514",125
"R-MMU-500792","R-MMU-500792","GPCR ligand binding","33/1323","70/5909",3.76320306880417e-06,0.000308582651641942,0.000279269280369152,"20308/12062/14063/54615/12266/16952/20297/13136/18441/13615/57349/56744/330122/20312/15945/20304/30878/19219/12267/11539/227717/208990/12778/12773/20606/19065/14062/233571/227326/223780/230857/20310/54598",33
"R-MMU-211859","R-MMU-211859","Biological oxidations","48/1323","120/5909",9.06068092352994e-06,0.000675432577935869,0.000611270818285992,"14871/216558/54200/68312/56615/11670/69574/109857/69083/64385/23972/72082/17161/14859/69065/207182/67758/23971/13120/100727/56362/54486/18113/13070/14629/210009/72094/243085/68021/13849/55990/14261/71522/14863/74134/20186/11615/17961/11668/94284/107146/277753/72303/11522/13118/394436/394432/394434",48
"R-MMU-198933","R-MMU-198933","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell","17/1323","28/5909",1.35004265321161e-05,0.000922529146361265,0.000834894798696652,"16414/20390/12266/68713/66141/12479/15015/12520/52118/15039/80876/19294/15040/15007/110557/100529082/14727",17
"R-MMU-418594","R-MMU-418594","G alpha (i) signalling events","53/1323","141/5909",2.57968233366004e-05,0.00158538574751837,0.00143478427727914,"11816/11813/20308/12315/104111/12062/15529/11514/18574/107477/12266/50782/16952/18797/20970/20297/19734/19737/241452/14725/665270/57349/56744/330122/14187/14681/20312/110385/170752/11806/20897/19660/105387/14733/15945/20304/30878/16971/12267/11539/208990/12778/19659/12773/20606/19065/227326/20310/19049/22139/237178/20148/432720",53
"R-MMU-425407","R-MMU-425407","SLC-mediated transmembrane transport","50/1323","131/5909",2.70675615429966e-05,0.00158538574751837,0.00143478427727914,"18400/20500/20527/117591/20533/330064/70129/17254/20499/20520/12315/72472/71279/55963/114304/22598/67760/59033/105727/20532/53945/226999/110895/56017/269346/20515/26570/14664/230612/20544/20531/74340/21366/30962/56636/22232/15203/11989/170756/338365/227659/108115/213603/268512/20539/11987/320718/67547/72027/108096",50
"R-MMU-5576891","R-MMU-5576891","Cardiac conduction","23/1323","47/5909",5.3356635707753e-05,0.00259080403742513,0.00234469428290721,"98660/16535/16506/20266/12315/12295/381290/11931/65973/230103/16439/13400/20271/22063/11928/57442/16526/16511/319734/14166/17178/12323/16514",23
"R-MMU-2172127","R-MMU-2172127","DAP12 interactions","15/1323","25/5909",5.37117910197893e-05,0.00259080403742513,0.00234469428290721,"16818/22325/14360/20662/16653/74769/57257/234779/15015/20416/15039/15040/15007/110557/100529082",15
"R-MMU-2424491","R-MMU-2424491","DAP12 signaling","15/1323","25/5909",5.37117910197893e-05,0.00259080403742513,0.00234469428290721,"16818/22325/14360/20662/16653/74769/57257/234779/15015/20416/15039/15040/15007/110557/100529082",15
"R-MMU-397014","R-MMU-397014","Muscle contraction","31/1323","72/5909",6.79678334115922e-05,0.00309631241097253,0.00280218260556564,"98660/16535/16506/20266/12315/12295/20410/13346/21956/381290/11931/65973/22004/230103/16439/13400/11459/20271/22063/11928/67938/57442/11475/16526/16511/319734/14166/17178/12323/21924/16514",31
"R-MMU-5673001","R-MMU-5673001","RAF/MAP kinase cascade","50/1323","136/5909",8.4573738242152e-05,0.00360674776054857,0.00326412987315371,"18591/26403/54153/14186/16192/13867/109689/12981/12315/14360/67603/19418/19252/20662/15200/245684/18590/54519/14810/19262/13645/83379/18595/13874/11839/19415/21802/16653/14183/75590/319520/14182/16453/12988/240672/14164/14173/18218/17967/20416/14255/235584/231474/12323/76089/13866/211323/20743/240168/12223",50
"R-MMU-114608","R-MMU-114608","Platelet degranulation ","32/1323","76/5909",8.79694575743554e-05,0.00360674776054857,0.00326412987315371,"18591/12315/21859/56193/19128/22339/56055/80884/18590/75396/72017/14067/13645/13601/54216/57349/56744/12527/14205/22341/11804/11806/22041/104009/19039/71946/18816/21808/218454/19241/227612/20363",32
"R-MMU-352230","R-MMU-352230","Amino acid transport across the plasma membrane","13/1323","21/5909",0.000109740373144174,0.00428510028467727,0.00387804326148585,"17254/72472/55963/22598/67760/105727/20532/26570/21366/30962/11989/20539/11987",13
"R-MMU-975634","R-MMU-975634","Retinoid metabolism and transport","16/1323","29/5909",0.000122299766587823,0.00455844584554613,0.00412542274853661,"11816/11813/15529/20970/14725/665270/14187/170752/11806/19660/105387/14733/16971/19659/22139/432720",16
"R-MMU-6806667","R-MMU-6806667","Metabolism of fat-soluble vitamins","17/1323","32/5909",0.000140465692586949,0.00490620064638352,0.00444014307535351,"11816/11813/15529/20970/14725/665270/14187/170752/11806/19660/105387/14733/16971/19659/71707/22139/432720",17
"R-MMU-5684996","R-MMU-5684996","MAPK1/MAPK3 signaling","51/1323","142/5909",0.000143596116479518,0.00490620064638352,0.00444014307535351,"18591/26403/54153/14186/16192/13867/109689/12981/12315/14360/67603/19418/19252/20662/15200/245684/16193/18590/54519/14810/19262/13645/83379/18595/13874/11839/19415/21802/16653/14183/75590/319520/14182/16453/12988/240672/14164/14173/18218/17967/20416/14255/235584/231474/12323/76089/13866/211323/20743/240168/12223",51
"R-MMU-180336","R-MMU-180336","SHC1 events in EGFR signaling","9/1323","12/5909",0.000155947911408328,0.00511509149419317,0.00462919063338406,"20662/15200/13645/13874/11839/21802/16653/20416/12223",9
"R-MMU-425393","R-MMU-425393","Transport of inorganic cations/anions and amino acids/oligopeptides","26/1323","59/5909",0.000163529339107333,0.00515746377184665,0.0046675378166263,"20533/17254/20499/12315/72472/55963/22598/67760/59033/105727/20532/226999/110895/20515/26570/20544/20531/74340/21366/30962/11989/170756/268512/20539/11987/320718",26
"R-MMU-71291","R-MMU-71291","Metabolism of amino acids and derivatives","49/1323","136/5909",0.000176467934288076,0.00526816075745382,0.00476771929910776,"12716/19125/18104/20810/17254/18263/71761/19193/15109/13195/50493/11847/218442/15473/76282/107272/56454/209027/14718/14645/15112/56357/107869/212647/100678/30956/27053/12035/12036/108682/243537/210009/13370/217593/54375/243382/20539/216456/22117/11615/211389/236539/246221/14204/100328588/107239/107585/11898/226654",49
"R-MMU-5669034","R-MMU-5669034","TNFs bind their physiological receptors","8/1323","10/5909",0.000179888416108179,0.00526816075745382,0.00476771929910776,"619441/21942/21937/245527/326623/18383/240873/69583",8
"R-MMU-76005","R-MMU-76005","Response to elevated platelet cytosolic Ca2+","32/1323","79/5909",0.000210703258580733,0.00595781627711037,0.00539186197094071,"18591/12315/21859/56193/19128/22339/56055/80884/18590/75396/72017/14067/13645/13601/54216/57349/56744/12527/14205/22341/11804/11806/22041/104009/19039/71946/18816/21808/218454/19241/227612/20363",32
"R-MMU-5683057","R-MMU-5683057","MAPK family signaling cascades","56/1323","162/5909",0.000222660345141496,0.00608604943386756,0.00550791380086859,"18591/26403/15507/54153/14186/16192/13867/109689/12981/12315/14360/67603/19418/19252/20662/15200/245684/16193/18590/54519/14810/19262/13645/83379/18595/13874/11839/19415/21802/16653/14183/75590/319520/14182/16453/12988/240672/260409/14164/14173/18218/17967/20416/50772/14255/104252/235584/231474/12323/545156/76089/13866/211323/20743/240168/12223",56
"R-MMU-1474244","R-MMU-1474244","Extracellular matrix organization","48/1323","135/5909",0.000293297042780117,0.00775817984128051,0.00702120255212165,"16414/18591/16777/18073/56213/11492/76477/73368/71753/17395/18074/15529/12818/12815/16774/58859/18453/67573/11501/12836/20970/18590/18214/12831/14118/12156/11490/12819/21923/18542/11595/12830/17388/94352/14173/210530/21808/13138/108075/17392/381122/373864/17384/17386/67374/22139/14115/12837",48
"R-MMU-6811558","R-MMU-6811558","PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling","28/1323","68/5909",0.000374381379026324,0.00959352283754954,0.00868219974386705,"16818/18591/14186/13867/14360/16180/15200/83490/18590/54167/18718/13645/18710/83379/18595/13874/11839/21802/14183/14182/14388/74769/19354/14164/14173/13866/211323/12223",28
