"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"mmu04141","mmu04141","Protein processing in endoplasmic reticulum",149,0.515104515026073,1.96990848104686,5.77167263072838e-05,0.001696366810501,0.00123088445115556,2124,"tags=38%, list=16%, signal=32%","22433/59007/66861/69608/22027/14828/17872/16430/53421/105245/22030/26400/18453/109815/81500/103963/226641/64209/66256/72265/57377/81910/20832/107513/70361/386649/67819/27054/13418/13200/74126/54609/26408/22213/66212/71853/69162/20335/20014/12017/12282/18415/13666/14376/218811/66753/20338/19358/12304/11911/223455/50527/56709/67397/78943/110379/13198"
"mmu04621","mmu04621","NOD-like receptor signaling pathway",137,0.506137987966886,1.91374001789226,5.82580833090591e-05,0.001696366810501,0.00123088445115556,2233,"tags=32%, list=17%, signal=27%","330122/14825/20310/20296/21929/18035/21926/11796/102641031/18795/69146/16193/22030/20846/54123/56489/17952/246730/17940/11797/14468/14469/15951/66513/22166/24014/15976/22034/55932/20304/23960/246727/17874/71914/268749/266632/20847/67414/19094/16439/215999/18439/216877/16391"
"mmu04060","mmu04060","Cytokine-cytokine receptor interaction",105,0.607379098817601,2.21355963110194,5.90632567479771e-05,0.001696366810501,0.00123088445115556,1627,"tags=43%, list=13%, signal=38%","330122/14825/20310/20296/21926/18383/57349/16164/12981/12977/230828/326623/18049/83430/20312/20297/77125/16193/12985/171095/16174/66102/21934/15980/12156/56744/11480/15945/53603/16182/20311/245527/16994/16195/16155/15979/15976/16878/213208/21938/16169/16190/12778/20304/16177"
"mmu04668","mmu04668","TNF signaling pathway",104,0.591306600852209,2.1510131736031,5.92136428233065e-05,0.001696366810501,0.00123088445115556,1600,"tags=33%, list=12%, signal=29%","330122/14825/20310/20296/21929/18035/21926/17395/16362/22329/15894/11796/12981/12977/20312/20297/208647/22029/16193/22030/26400/26399/15945/16182/11797/20311/26408/12051/66513/19225/17392/16878/21938/12912/20304"
"mmu04064","mmu04064","NF-kappa B signaling pathway",71,0.571576930089444,1.96335229514975,6.05290236668483e-05,0.001696366810501,0.00123088445115556,1704,"tags=35%, list=13%, signal=31%","330122/14825/20310/21929/18035/21926/12475/22329/15894/11796/22029/18792/22030/21934/18034/11797/230073/245527/16994/66513/19225/22034/16177/19698/17096"
"mmu04657","mmu04657","IL-17 signaling pathway",69,0.608494008569058,2.07987299510602,6.07828835399951e-05,0.001696366810501,0.00123088445115556,958,"tags=29%, list=7%, signal=27%","330122/14825/20310/20296/21929/18035/21926/17395/74180/12981/22027/20297/16193/12985/22030/171095/56489/15945/20311/16819"
"mmu00510","mmu00510","N-Glycan biosynthesis",46,0.621572965116461,1.97329612914625,6.21388181196794e-05,0.001696366810501,0.00123088445115556,2794,"tags=48%, list=21%, signal=38%","16430/217664/102580/56737/103963/57377/53618/14595/66248/13200/13478/20014/14376/269181/107895/17156/68563/17155/223774/57357/208211/57170"
"mmu04972","mmu04972","Pancreatic secretion",46,0.627455747036011,1.99197208746803,6.21388181196794e-05,0.001696366810501,0.00123088445115556,2102,"tags=46%, list=16%, signal=38%","23844/12349/18750/12494/18795/12638/11938/98660/67972/11931/12722/11928/54403/99663/66350/16535/80718/22063/11513/16439/20544"
"mmu04061","mmu04061","Viral protein interaction with cytokine and cytokine receptor",34,0.807150857581485,2.414034124026,6.27155848228285e-05,0.001696366810501,0.00123088445115556,1600,"tags=65%, list=12%, signal=57%","330122/14825/20310/20296/21926/57349/12977/230828/20312/20297/16193/16174/56744/15945/16182/20311/16195/16155/213208/21938/12778/20304"
"mmu04640","mmu04640","Hematopoietic cell lineage",34,0.672027264228826,2.00990525239012,6.27155848228285e-05,0.001696366810501,0.00123088445115556,447,"tags=32%, list=3%, signal=31%","21926/109700/12475/16416/12981/12977/12494/16193/12985/16403/16398"
"mmu03430","mmu03430","Mismatch repair",22,-0.751263129225089,-2.08019076385804,7.00819959352442e-05,0.001696366810501,0.00123088445115556,1633,"tags=70%, list=13%, signal=61%","69745/18861/68240/106344/19891/69263/19718/18971/16881/17688/19687/17685/26909/18538/68275"
"mmu03030","mmu03030","DNA replication",35,-0.791464108133259,-2.44704740327685,7.10984713828653e-05,0.001696366810501,0.00123088445115556,1566,"tags=69%, list=12%, signal=60%","18974/106344/69724/66979/19076/19891/14156/69263/19718/17220/18971/17215/17218/17219/18968/16881/19075/19687/17216/17217/18973/18538/68275"
"mmu04142","mmu04142","Lysosome",109,-0.523534730184918,-1.98659423213666,7.67872226061583e-05,0.001696366810501,0.00123088445115556,2280,"tags=44%, list=18%, signal=37%","27426/110006/235504/13030/56464/27029/17939/211286/15932/14387/14466/114143/15212/64933/54411/67489/108664/13423/16004/11984/17159/11886/21871/56722/94178/12757/192654/11972/18010/74325/16784/19025/19156/17775/74105/83429/67963/13033/18145/19141/19063/14667/58911/13039/12751/16783/13034/15211"
"mmu04110","mmu04110","Cell cycle",118,-0.494545246868295,-1.90108802275579,7.68580431942203e-05,0.001696366810501,0.00123088445115556,1059,"tags=28%, list=8%, signal=26%","22137/68999/12545/56452/211586/12445/50883/17220/11920/19090/27401/17215/12530/12235/12544/13557/17218/17219/21803/12575/13555/23834/12443/21781/17216/12447/17217/12444/12566/18538/66156/12448"
"mmu05134","mmu05134","Legionellosis",48,0.627712692084122,2.00778561499396,0.000124339446689462,0.00256139260180292,0.00185854751893723,795,"tags=23%, list=6%, signal=22%","330122/14825/20310/18035/21926/12475/16193/18034/17952/17940/16414"
"mmu04062","mmu04062","Chemokine signaling pathway",110,0.457268015763012,1.67720584904812,0.000176991150442478,0.00341814159292035,0.00248020493712157,2071,"tags=26%, list=16%, signal=22%","330122/14825/20310/20296/18035/57349/320207/18795/20312/20297/20846/140580/66102/56744/15945/57257/20311/93742/277360/20848/14083/109880/20304/17096/20306/170758/20847/11513/109689"
"mmu04392","mmu04392","Hippo signaling pathway - multiple species",23,-0.718990923875769,-2.01368131373313,0.000210762961922158,0.00383092677846746,0.00277972203649658,713,"tags=30%, list=5%, signal=29%","97064/27373/16475/21677/319710/50523"
"mmu04512","mmu04512","ECM-receptor interaction",45,0.592188495112558,1.87328044354296,0.000247816120438635,0.00425417673419656,0.00308683237739352,925,"tags=31%, list=7%, signal=29%","109700/16416/16404/16782/16410/21923/20750/192897/226519/16403/16398/114249/16423/15530"
"mmu04918","mmu04918","Thyroid hormone synthesis",43,0.590764118634371,1.85118283781941,0.000434377908780639,0.00685752330226365,0.00497582171140234,2089,"tags=44%, list=16%, signal=37%","18750/18795/22027/14828/208647/23985/66811/214593/98660/11931/11928/12912/12304/11911/14776/14782/11513/18510/16439"
"mmu03060","mmu03060","Protein export",25,0.671265646780826,1.87346341494497,0.000443852640923213,0.00685752330226365,0.00497582171140234,1214,"tags=40%, list=9%, signal=36%","14828/53421/67398/66286/66624/217337/20818/66212/66661/20335"
"mmu03460","mmu03460","Fanconi anemia pathway",50,-0.551766376128651,-1.83492516817179,0.000505561172901921,0.00742752752271525,0.00538941700677346,2253,"tags=43%, list=17%, signal=36%","208836/223970/237911/74386/233826/18861/68240/14087/52864/60534/19891/104806/19361/27015/80905/268465/12144/15205/12189/211651/68275"
"mmu05202","mmu05202","Transcriptional misregulation in cancer",117,0.439442011723021,1.62605247315687,0.000528820729772607,0.00742752752271525,0.00538941700677346,1544,"tags=29%, list=12%, signal=26%","50528/80859/17395/15081/12475/11796/19126/12981/18627/22029/16193/18792/12393/109115/14011/19016/14254/21912/18647/17355/53618/13197/56312/14009/17869/70439/22289/14030/21417/20683/17392/23882/14083/17268"
"mmu04140","mmu04140","Autophagy - animal",129,-0.416969480505632,-1.62324098549409,0.000619434765776229,0.0081518219885745,0.00591496536728451,2149,"tags=36%, list=17%, signal=30%","18607/68728/18412/26413/12048/22241/15461/17532/13030/52639/11652/18706/13665/68118/17274/66922/26395/207565/12633/16001/20869/74769/18747/11651/67474/213948/217695/18753/16367/67605/26420/19349/100504663/237782/93739/22084/16784/57436/54170/52187/18709/13033/13039/226421/16783"
"mmu04144","mmu04144","Endocytosis",214,-0.36946798355109,-1.52780679833061,0.000658870037885027,0.0081518219885745,0.00591496536728451,2318,"tags=32%, list=18%, signal=27%","15039/15051/15512/84092/67588/98878/19334/13430/54189/99371/76959/14184/245666/213990/67804/19158/227700/19341/19345/70527/17274/232910/229285/56324/18759/20844/225861/16001/268451/259300/30930/232227/30948/12345/16004/11848/69710/19325/71889/12390/53869/19349/69091/68767/105513/73178/12757/212285/18571/74325/18854/16573/11842/106572/27965/216963/106952/52055/211914/65114/330192/58220/18720/56433/223593/28006/12389/15481"
