	SCR_0pt5mM_A	SCR_0pt5mM_B	SCR_4mM_A	SCR_4mM_B
ENSMUSG00000000001.4|Gnai3	8.17374053768821	8.30645401874347	8.27720677939262	8.24208834518353
ENSMUSG00000000028.15|Cdc45	5.32633227384353	5.26775036917469	4.7989600857935	4.85272044379784
ENSMUSG00000000056.7|Narf	4.76054480923748	4.92991940349186	4.78520675172654	4.79090230348404
ENSMUSG00000000058.6|Cav2	8.32273518984717	8.50862331557033	8.1320144959853	8.13640798783161
ENSMUSG00000000078.7|Klf6	8.88658327603715	8.96198753727882	9.287733160356	9.25738993715182
ENSMUSG00000000085.16|Scmh1	3.67152646819457	3.67095214643491	3.61874117153378	3.65852480098832
ENSMUSG00000000088.7|Cox5a	6.21962124725385	6.40869803483834	6.05489336999343	5.98631154086484
ENSMUSG00000000126.11|Wnt9a	0.141989653256828	0.180936749365178	0.823870841297286	0.775023511790052
ENSMUSG00000000127.15|Fer	5.38101094767146	5.44837469208561	5.42680245526728	5.39994208763284
ENSMUSG00000000131.15|Xpo6	6.32943604517027	6.26536344130986	6.25982671595702	6.35469598554533
ENSMUSG00000000134.17|Tfe3	5.84452059206515	5.87751287828441	5.86255614587688	5.82088709039855
ENSMUSG00000000148.17|Brat1	4.32798029842698	4.16149174356025	4.15017335848049	4.11603290567659
ENSMUSG00000000149.10|Gna12	5.80666336841839	5.63858627614669	5.58197776008083	5.62450862601244
ENSMUSG00000000154.16|Slc22a18	3.52335491072615	3.19054790104639	2.99613960753307	3.21467328655646
ENSMUSG00000000159.16|Igsf5	2.51888082459998	2.61088494565913	2.14245177946483	2.50391863754607
ENSMUSG00000000167.14|Pih1d2	1.48271413004793	1.03154599558988	1.02023682905218	1.08953333568806
ENSMUSG00000000168.9|Dlat	6.2042603093283	6.3043118537602	6.12455401276267	6.12455401276267
ENSMUSG00000000171.5|Sdhd	6.78562693812692	6.73574019324935	6.51469297053553	6.55920562340413
ENSMUSG00000000184.12|Ccnd2	8.63938789864385	8.67186446750917	8.19918660193308	8.1633806557158
ENSMUSG00000000194.13|Gpr107	6.1273633739098	6.0607351558702	6.10980545500595	6.21537733249565
ENSMUSG00000000204.16|Slfn4	2.92047611637	2.87156905652308	2.74953231820584	3.05309655209712
ENSMUSG00000000223.13|Drp2	0.302567613660521	0.714562515247715	-0.177693156745748	0.624846772034779
ENSMUSG00000000244.17|Tspan32	1.14276909744483	0.856105444482695	1.69270667805866	1.57227044301056
ENSMUSG00000000266.11|Mid2	3.86521990571686	3.90891177474416	4.3862025431016	4.22649828563529
ENSMUSG00000000275.16|Trim25	7.03859655451923	7.03125632402205	7.05459022028871	7.13160523677482
ENSMUSG00000000276.11|Dgke	4.56417873732524	4.76990150913198	4.71507503772384	4.80168890623583
ENSMUSG00000000278.10|Scpep1	7.79141499966958	7.75136194818659	7.55263927376405	7.61635268041002
ENSMUSG00000000282.12|Mnt	6.00896138128411	5.91027347295138	6.21191324071011	6.2567177581727
ENSMUSG00000000290.13|Itgb2	3.79765341205083	3.53948365963656	4.11603290567659	4.36226993667124
ENSMUSG00000000295.13|Hddc2	4.34429285066489	4.31639939922444	4.23342432700314	4.19353534313092
ENSMUSG00000000296.8|Tpd52l1	6.70386941384414	6.64336518421572	6.59725638620106	6.5931403953743
ENSMUSG00000000301.16|Pemt	1.85625353875066	1.71044408312008	2.08276899292852	2.2034988265823
ENSMUSG00000000303.12|Cdh1	9.56677030107533	9.57550668542131	9.81497218525809	9.89371894529731
ENSMUSG00000000308.14|Ckmt1	0.624846772034779	0.265936505951641	0.348602950164909	0.461675159841173
ENSMUSG00000000317.11|Bcl6b	2.80717367271498	2.50391863754607	1.66106875998114	1.75343823331825
ENSMUSG00000000325.16|Arvcf	3.16664549418772	3.20000296775373	3.00368583670796	2.8840285132222
ENSMUSG00000000326.13|Comt	5.93708036841381	5.96426219311132	5.99462992830925	6.14063908701577
ENSMUSG00000000339.14|Rtca	4.93534049693402	5.08893299071446	4.88711685272409	4.99408100716124
ENSMUSG00000000340.10|Dbt	5.45753335734383	5.53943903931654	5.73824683739149	5.80948636985682
ENSMUSG00000000346.9|Dazap2	7.41325566643532	7.37080520578249	7.38498987348729	7.29829083069694
ENSMUSG00000000355.13|Mcts1	4.41066361895356	4.65622382335655	4.47029276179792	4.35144775147303
ENSMUSG00000000374.8|Trappc10	5.9487837831182	5.98802525779708	5.96039046524911	6.01432605526117
ENSMUSG00000000378.15|Ccm2	5.21274245836283	5.16214486425672	4.97268020459436	5.00382308782551
ENSMUSG00000000384.15|Tbrg4	5.72581839227909	5.59477135812844	5.85098548412885	5.87353744205246
ENSMUSG00000000385.8|Tmprss2	6.62154934099409	6.69409028906999	7.55666126417181	7.562645286469
ENSMUSG00000000386.15|Mx1	0.456522327000359	0.348602950164909	1.91812849068629	1.50321280562489
ENSMUSG00000000399.10|Ndufa9	6.66636839327881	6.6360263734617	6.70915340305858	6.78863971363126
ENSMUSG00000000409.14|Lck	2.57530273511966	2.38531952909245	2.40722573490172	2.63392696563021
ENSMUSG00000000420.15|Galnt1	6.97935373775587	7.02113492448911	7.06387449425978	7.09500130306799
ENSMUSG00000000439.9|Mkrn2	5.22523752417133	5.09289769580311	5.24342594712376	5.25524924315597
ENSMUSG00000000440.12|Pparg	6.16233137200145	6.26970591980911	6.64172153705825	6.53508863037453
ENSMUSG00000000441.17|Raf1	6.89479774268629	6.76481928939982	6.82328361151153	6.8840692303601
ENSMUSG00000000489.7|Pdgfb	5.57563927163969	5.46440278283915	5.22987564306233	5.25113177091191
ENSMUSG00000000531.5|Grasp	4.43843419694746	4.58168852223729	4.29394839603592	4.24101615762915
ENSMUSG00000000532.11|Acvr1b	5.70310133168915	5.55560129830618	5.52386599891432	5.61256051447624
ENSMUSG00000000538.18|Tom1l2	6.33254043695662	6.23298531736661	6.1720552075792	6.15810395080358
ENSMUSG00000000544.14|Gpa33	3.43690430420605	3.28622946949015	3.55666377934216	3.60940226201522
ENSMUSG00000000552.10|Zfp385a	3.70819039908189	3.63148893182447	3.36190344172109	3.54563467198445
ENSMUSG00000000555.8|Itga5	5.41113428293356	5.38838747991391	5.37445273410029	5.52822921043459
ENSMUSG00000000561.14|Wdr77	7.50186947917262	7.60609051509798	7.67876671272488	7.67651388726361
ENSMUSG00000000563.17|Atp5f1	8.15696959770179	8.12078004476751	8.24985065696362	8.2303585742722
ENSMUSG00000000567.5|Sox9	5.9817495592249	6.12796515367722	6.13871122721091	6.0896408545757
ENSMUSG00000000568.15|Hnrnpd	6.59416600963506	6.74743904893727	6.76109305305725	6.66644084682744
ENSMUSG00000000579.14|Dynlt1c	2.19091973032592	2.46795633581284	2.34638949672916	2.2034988265823
ENSMUSG00000000581.8|C1d	4.66528797190443	4.87439960165779	4.63529997122609	4.56417873732524
ENSMUSG00000000594.7|Gm2a	4.50865634550473	4.66833607167323	3.94750323508951	3.89735230265543
ENSMUSG00000000600.15|Krit1	6.17183975132415	6.24930453849294	6.09221377016749	6.13475744905721
ENSMUSG00000000605.9|Clcn4	4.35035379257096	4.33794987610866	4.21103386292181	4.24444749774389
ENSMUSG00000000627.15|Sema4f	2.80717367271498	2.84892476295647	2.7278605368608	2.69928136355527
ENSMUSG00000000628.10|Hk2	8.44698925107583	8.37755516579195	8.68489296189887	8.75347339092013
ENSMUSG00000000631.20|Myo18a	7.77098280628033	7.6001220996916	7.72862192271279	7.76578718520288
ENSMUSG00000000690.5|Hoxb6	0.507994321403668	0.393207563360472	0.230959017493788	0.0333376526722322
ENSMUSG00000000693.10|Loxl3	2.66375455500374	2.58716006879396	2.17349743861927	2.35352125098988
