	SCR_0pt5mM_A	SCR_0pt5mM_B	SH1_0pt5mM_A	SH1_0pt5mM_B
ENSMUSG00000000001.4|Gnai3	8.11022315375971	8.23490823517672	8.10245586719574	8.01129768117461
ENSMUSG00000000028.15|Cdc45	5.31460916761295	5.25857935743908	4.59014445763836	4.36396185230441
ENSMUSG00000000056.7|Narf	4.76836651951093	4.9329468623812	5.2750837897886	5.18102022313482
ENSMUSG00000000058.6|Cav2	8.25400357177246	8.45555157587901	7.23090976885878	7.21981197598976
ENSMUSG00000000078.7|Klf6	8.90814554905183	8.9764465096713	7.15863470606461	6.98851800848757
ENSMUSG00000000085.16|Scmh1	3.73778005833488	3.73778005833488	3.71696192887348	3.69343514882972
ENSMUSG00000000088.7|Cox5a	6.18492412901328	6.37043171146234	6.16285028902914	6.24590473268206
ENSMUSG00000000126.11|Wnt9a	0.207580380521417	0.246163802527644	-2.25514663572275	-0.83336645088995
ENSMUSG00000000127.15|Fer	5.36823006588735	5.43628415097684	4.34467110903022	4.26776732545214
ENSMUSG00000000131.15|Xpo6	6.29069989918258	6.22616411109696	5.87356405166699	5.83466308249589
ENSMUSG00000000134.17|Tfe3	5.8179693361977	5.84939570853561	5.70575566951788	5.7796552777902
ENSMUSG00000000148.17|Brat1	4.3632851658766	4.20569047304366	4.62082692687863	4.51387747561981
ENSMUSG00000000149.10|Gna12	5.7815081686367	5.62267723102188	5.36575716706568	5.33965043029171
ENSMUSG00000000154.16|Slc22a18	3.60229335783796	3.29496056263886	4.89139464720076	4.85249645705099
ENSMUSG00000000159.16|Igsf5	2.64010131298431	2.73230399365836	3.62249581124183	3.82177531880382
ENSMUSG00000000167.14|Pih1d2	1.56165971600557	1.09430877409473	1.07684676493072	0.666225570146268
ENSMUSG00000000168.9|Dlat	6.16829612735668	6.26320515322834	5.89266724348938	5.96078689996131
ENSMUSG00000000171.5|Sdhd	6.73653745023497	6.68887983959941	7.10922327073319	7.18196963826368
ENSMUSG00000000184.12|Ccnd2	8.62040940793517	8.64894140553581	8.712270423503	8.5813290403444
ENSMUSG00000000194.13|Gpr107	6.0944491573789	6.02835761344231	6.24839369654865	6.23011822913031
ENSMUSG00000000204.16|Slfn4	3.0353512048941	2.98953419601589	-0.0450832850781973	0.628827247113733
ENSMUSG00000000223.13|Drp2	0.384456498369977	0.780551589050639	-1.02366337484783	-0.94204306993635
ENSMUSG00000000244.17|Tspan32	1.22011903599026	0.917734724568755	3.89725687830083	3.89630204609865
ENSMUSG00000000266.11|Mid2	3.92224120659768	3.96294680637332	5.08269967144242	4.98732094103006
ENSMUSG00000000275.16|Trim25	6.97726367731673	6.96956628937268	7.09165346498092	6.94446944648213
ENSMUSG00000000276.11|Dgke	4.59264421359418	4.77752653087721	3.02547622233373	3.04327624519172
ENSMUSG00000000278.10|Scpep1	7.73054887826786	7.68687670012614	7.17253236116553	7.22953943794328
ENSMUSG00000000282.12|Mnt	5.97960148109352	5.88385479769556	5.3557237177072	5.28631189286713
ENSMUSG00000000290.13|Itgb2	3.85494312799113	3.62128954336083	1.9396765640419	2.09331155275573
ENSMUSG00000000295.13|Hddc2	4.37907382481333	4.35110436542573	4.16740232029898	4.15353318577853
ENSMUSG00000000296.8|Tpd52l1	6.65726149629097	6.59993026966259	4.94604723761467	5.06131258934066
ENSMUSG00000000301.16|Pemt	1.9396765640419	1.78862424127005	1.349628691561	1.45879038327065
ENSMUSG00000000303.12|Cdh1	9.60318965415397	9.61208868940289	9.6375095650477	9.54008469296457
ENSMUSG00000000308.14|Ckmt1	0.702668562304092	0.338849705782098	4.64429180515944	4.74028065957238
ENSMUSG00000000317.11|Bcl6b	2.93018499745782	2.63065294778764	1.78368342756469	2.00941576984005
ENSMUSG00000000325.16|Arvcf	3.27452018162215	3.30530240722965	2.24366036692321	2.07771103335091
ENSMUSG00000000326.13|Comt	5.9089048493767	5.93666779816804	5.63951132183362	5.69001373036566
ENSMUSG00000000339.14|Rtca	4.93772456200881	5.0799283268123	4.64429180515944	4.87157141703524
ENSMUSG00000000340.10|Dbt	5.44768694612998	5.52607905494056	5.33426046373729	5.30783243569627
