	SCR_0pt5mM_A	SCR_0pt5mM_B	SCR_4mM_A	SCR_4mM_B	SH1_0pt5mM_A	SH1_0pt5mM_B	SH1_4mM_A	SH1_4mM_B	SH2_0pt5mM_A	SH2_0pt5mM_B	SH2_4mM_A	SH2_4mM_B
ENSMUSG00000000001.4|Gnai3	8.1461203113533	8.27861996778973	8.24891371384342	8.21283753114784	8.13828362676588	8.04665120458937	8.17434012161103	8.12927171617394	8.33060191654853	8.33804097623958	8.26907931353019	8.26907931353019
ENSMUSG00000000028.15|Cdc45	5.29385266041013	5.23663953635766	4.77004156690361	4.82310095420949	4.53858767416716	4.30419986921767	3.70721566246292	3.36412543045682	5.26010660567739	5.22879315744546	5.12281536216193	4.87182363034378
ENSMUSG00000000056.7|Narf	4.73042992885658	4.89958554553388	4.75524032874654	4.76129805177658	5.25393707459013	5.15527542257179	5.04337305957587	4.91376641995807	4.35001529925674	4.54088958394149	4.11994043026596	4.3403280800222
ENSMUSG00000000058.6|Cav2	8.29873493400398	8.49661537767992	8.10338635975522	8.10806731828	7.25167288165655	7.23999873704289	7.07488468979704	7.05273962799174	8.32612938598483	8.23398689709628	8.54655230711825	8.42404526524246
ENSMUSG00000000078.7|Klf6	8.90466308776604	8.97826479855851	9.32855553170375	9.28669779698522	7.18271558991921	7.01264985358063	7.13299404520587	7.24526952494566	9.17521545609546	9.02186588078153	9.68702870798757	9.7248458970165
ENSMUSG00000000085.16|Scmh1	3.65669585464439	3.65576932620917	3.60653663893394	3.64292219102103	3.63282180236722	3.60890458266356	3.34189738673237	3.52025157593048	3.45938455798407	3.44968396473587	3.31510087700814	3.52640415790041
ENSMUSG00000000088.7|Cox5a	6.18759988138448	6.37867913122536	6.02585668073211	5.95916850593396	6.16667662496319	6.25462518954198	6.3103557841674	6.15406167590182	5.78749513359633	5.79984637218208	5.73190147814569	5.81797576775713
ENSMUSG00000000126.11|Wnt9a	0.0763806976347596	0.0881968863019621	0.774220931654833	0.729590986987986	-2.43627861340347	-1.0183986790125	-2.43627861340347	-3.86265919074699	1.08624664461824	0.406247772272728	2.14003043559363	1.93982293338447
ENSMUSG00000000127.15|Fer	5.35126475793143	5.41748408371868	5.39683171247574	5.36869180394723	4.28339246366201	4.20653630805711	4.35203605120677	4.31562148536434	4.67580873533559	4.65417839406659	4.88834832066392	5.04841955391921
ENSMUSG00000000131.15|Xpo6	6.29615607346485	6.23234029516052	6.22713591859503	6.32242557048529	5.87831822298487	5.83895720819626	5.71010238036924	5.73587298503567	6.40986656521938	6.2941730394792	6.38175109877753	6.36257489057971
