symbol	Gcn1_SCR_0pt5mM_A	Gcn1_SCR_0pt5mM_B	Gcn1_SCR_4mM_A	Gcn1_SCR_4mM_B
ENSMUSG00000000001.4|Gnai3	6691	8063	7666	8317
ENSMUSG00000000028.15|Cdc45	929	986	683	789
ENSMUSG00000000056.7|Narf	625	779	675	753
ENSMUSG00000000058.6|Cav2	7290	9165	6853	7664
ENSMUSG00000000078.7|Klf6	11021	12693	15274	16890
ENSMUSG00000000085.16|Scmh1	293	327	302	341
ENSMUSG00000000088.7|Cox5a	1728	2173	1617	1732
ENSMUSG00000000126.11|Wnt9a	24	28	45	46
ENSMUSG00000000127.15|Fer	963	1122	1049	1153
ENSMUSG00000000131.15|Xpo6	1858	1969	1871	2238
ENSMUSG00000000134.17|Tfe3	1324	1510	1418	1547
ENSMUSG00000000148.17|Brat1	461	460	433	471
ENSMUSG00000000149.10|Gna12	1294	1287	1164	1338
ENSMUSG00000000154.16|Slc22a18	265	232	198	251
ENSMUSG00000000159.16|Igsf5	129	157	111	153
ENSMUSG00000000167.14|Pih1d2	62	50	51	58
ENSMUSG00000000168.9|Dlat	1710	2015	1697	1905
ENSMUSG00000000171.5|Sdhd	2552	2727	2242	2587
ENSMUSG00000000184.12|Ccnd2	9188	10284	7167	7797
ENSMUSG00000000194.13|Gpr107	1618	1717	1677	2026
ENSMUSG00000000204.16|Slfn4	171	186	168	225
ENSMUSG00000000223.13|Drp2	27	41	23	41
ENSMUSG00000000244.17|Tspan32	49	45	82	81
ENSMUSG00000000266.11|Mid2	336	385	514	510
ENSMUSG00000000275.16|Trim25	3027	3344	3250	3834
ENSMUSG00000000276.11|Dgke	547	698	641	760
ENSMUSG00000000278.10|Scpep1	5052	5488	4630	5448
ENSMUSG00000000282.12|Mnt	1488	1545	1807	2091
ENSMUSG00000000290.13|Itgb2	320	298	423	560
ENSMUSG00000000295.13|Hddc2	466	513	463	498
ENSMUSG00000000296.8|Tpd52l1	2406	2557	2366	2644
ENSMUSG00000000301.16|Pemt	81	82	107	125
ENSMUSG00000000303.12|Cdh1	17428	19178	22010	26155
ENSMUSG00000000308.14|Ckmt1	34	30	32	37
ENSMUSG00000000317.11|Bcl6b	158	145	80	92
ENSMUSG00000000325.16|Arvcf	206	233	199	202
ENSMUSG00000000326.13|Comt	1412	1604	1553	1925
ENSMUSG00000000339.14|Rtca	709	869	724	872
ENSMUSG00000000340.10|Dbt	1016	1194	1296	1534
ENSMUSG00000000346.9|Dazap2	3922	4253	4083	4274
