symbol	Gcn1_SCR_0pt5mM_A	Gcn1_SCR_0pt5mM_B	Gcn1_SH2_0pt5mM_A	Gcn1_SH2_0pt5mM_B
ENSMUSG00000000001.4|Gnai3	6691	8063	7795	8331
ENSMUSG00000000028.15|Cdc45	929	986	897	958
ENSMUSG00000000056.7|Narf	625	779	459	586
ENSMUSG00000000058.6|Cav2	7290	9165	7757	7815
ENSMUSG00000000078.7|Klf6	11021	12693	13734	13155
ENSMUSG00000000085.16|Scmh1	293	327	238	266
ENSMUSG00000000088.7|Cox5a	1728	2173	1306	1443
ENSMUSG00000000126.11|Wnt9a	24	28	42	28
ENSMUSG00000000127.15|Fer	963	1122	586	642
ENSMUSG00000000131.15|Xpo6	1858	1969	2023	2019
ENSMUSG00000000134.17|Tfe3	1324	1510	1546	1695
ENSMUSG00000000148.17|Brat1	461	460	427	468
ENSMUSG00000000149.10|Gna12	1294	1287	976	1078
ENSMUSG00000000154.16|Slc22a18	265	232	262	373
ENSMUSG00000000159.16|Igsf5	129	157	103	142
ENSMUSG00000000167.14|Pih1d2	62	50	66	75
ENSMUSG00000000168.9|Dlat	1710	2015	1325	1484
ENSMUSG00000000171.5|Sdhd	2552	2727	2945	3348
ENSMUSG00000000184.12|Ccnd2	9188	10284	7835	8713
ENSMUSG00000000194.13|Gpr107	1618	1717	1860	1972
ENSMUSG00000000204.16|Slfn4	171	186	28	27
ENSMUSG00000000223.13|Drp2	27	41	10	6
ENSMUSG00000000244.17|Tspan32	49	45	66	75
ENSMUSG00000000248.16|Clec2g	8	11	36	37
ENSMUSG00000000266.11|Mid2	336	385	744	743
ENSMUSG00000000275.16|Trim25	3027	3344	3324	3508
ENSMUSG00000000276.11|Dgke	547	698	657	699
ENSMUSG00000000278.10|Scpep1	5052	5488	3021	3445
ENSMUSG00000000282.12|Mnt	1488	1545	1732	1841
ENSMUSG00000000290.13|Itgb2	320	298	70	61
ENSMUSG00000000295.13|Hddc2	466	513	412	433
ENSMUSG00000000296.8|Tpd52l1	2406	2557	1850	1920
ENSMUSG00000000301.16|Pemt	81	82	71	111
ENSMUSG00000000303.12|Cdh1	17428	19178	19006	21288
ENSMUSG00000000308.14|Ckmt1	34	30	64	51
ENSMUSG00000000317.11|Bcl6b	158	145	80	92
ENSMUSG00000000325.16|Arvcf	206	233	70	80
ENSMUSG00000000326.13|Comt	1412	1604	1295	1447
ENSMUSG00000000339.14|Rtca	709	869	847	891
ENSMUSG00000000340.10|Dbt	1016	1194	976	1042
ENSMUSG00000000346.9|Dazap2	3922	4253	4600	5395
ENSMUSG00000000355.13|Mcts1	489	643	623	724
ENSMUSG00000000374.8|Trappc10	1424	1632	1594	1597
ENSMUSG00000000378.15|Ccm2	858	917	736	775
ENSMUSG00000000384.15|Tbrg4	1228	1244	1100	1258
