symbol	Gcn1_SCR_0pt5mM_A	Gcn1_SCR_0pt5mM_B	Gcn1_SCR_4mM_A	Gcn1_SCR_4mM_B	Gcn1_SH1_0pt5mM_A	Gcn1_SH1_0pt5mM_B	Gcn1_SH1_4mM_A	Gcn1_SH1_4mM_B	Gcn1_SH2_0pt5mM_A	Gcn1_SH2_0pt5mM_B	Gcn1_SH2_4mM_A	Gcn1_SH2_4mM_B
ENSMUSG00000000001.4|Gnai3	6691	8063	7666	8317	6689	6165	6234	7034	7795	8331	8261	8524
ENSMUSG00000000028.15|Cdc45	929	986	683	789	618	530	318	299	897	958	837	724
ENSMUSG00000000056.7|Narf	625	779	675	753	972	906	745	786	459	586	391	486
ENSMUSG00000000058.6|Cav2	7290	9165	6853	7664	3661	3546	2924	3295	7757	7815	9856	9437
ENSMUSG00000000078.7|Klf6	11021	12693	15274	16890	3508	3045	3040	3744	13734	13155	21236	22323
ENSMUSG00000000085.16|Scmh1	293	327	302	341	346	342	253	329	238	266	211	261
ENSMUSG00000000088.7|Cox5a	1728	2173	1617	1732	1779	1849	1741	1795	1306	1443	1333	1458
ENSMUSG00000000126.11|Wnt9a	24	28	45	46	4	15	3	1	42	28	88	82
ENSMUSG00000000127.15|Fer	963	1122	1049	1153	526	498	478	536	586	642	702	817
ENSMUSG00000000131.15|Xpo6	1858	1969	1871	2238	1462	1393	1175	1353	2023	2019	2130	2173
ENSMUSG00000000134.17|Tfe3	1324	1510	1418	1547	1307	1344	1069	1260	1546	1695	1473	1547
ENSMUSG00000000148.17|Brat1	461	460	433	471	631	589	511	642	427	468	434	415
ENSMUSG00000000149.10|Gna12	1294	1287	1164	1338	1040	1005	905	1072	976	1078	973	983
ENSMUSG00000000154.16|Slc22a18	265	232	198	251	753	729	636	765	262	373	179	207
ENSMUSG00000000159.16|Igsf5	129	157	111	153	327	371	369	418	103	142	101	109
ENSMUSG00000000167.14|Pih1d2	62	50	51	58	56	43	53	61	66	75	61	61
ENSMUSG00000000168.9|Dlat	1710	2015	1697	1905	1480	1520	1223	1377	1325	1484	1495	1628
ENSMUSG00000000171.5|Sdhd	2552	2727	2242	2587	3382	3456	3183	3620	2945	3348	2917	3034
ENSMUSG00000000184.12|Ccnd2	9188	10284	7167	7797	10544	9588	7414	7824	7835	8713	7296	7659
ENSMUSG00000000194.13|Gpr107	1618	1717	1677	2026	1880	1829	1637	2054	1860	1972	2017	1961
ENSMUSG00000000204.16|Slfn4	171	186	168	225	27	42	18	32	28	27	26	42
ENSMUSG00000000223.13|Drp2	27	41	23	41	13	14	8	10	10	6	11	11
ENSMUSG00000000244.17|Tspan32	49	45	82	81	388	390	441	480	66	75	46	69
ENSMUSG00000000248.16|Clec2g	8	11	17	14	25	17	15	27	36	37	26	35
ENSMUSG00000000266.11|Mid2	336	385	514	510	853	793	1080	1140	744	743	688	764
ENSMUSG00000000275.16|Trim25	3027	3344	3250	3834	3334	2942	3358	3363	3324	3508	3460	3697
ENSMUSG00000000276.11|Dgke	547	698	641	760	222	229	268	284	657	699	681	773
ENSMUSG00000000278.10|Scpep1	5052	5488	4630	5448	3534	3571	3496	4357	3021	3445	3023	3567
ENSMUSG00000000282.12|Mnt	1488	1545	1807	2091	1031	972	839	1210	1732	1841	1979	2114
ENSMUSG00000000290.13|Itgb2	320	298	423	560	103	116	107	126	70	61	49	69
ENSMUSG00000000295.13|Hddc2	466	513	463	498	467	462	415	461	412	433	403	385
ENSMUSG00000000296.8|Tpd52l1	2406	2557	2366	2644	782	835	633	840	1850	1920	2576	2432
ENSMUSG00000000301.16|Pemt	81	82	107	125	69	76	71	76	71	111	131	136
ENSMUSG00000000303.12|Cdh1	17428	19178	22010	26155	20793	19578	19087	24320	19006	21288	22576	24653
ENSMUSG00000000308.14|Ckmt1	34	30	32	37	641	678	874	1086	64	51	35	54
ENSMUSG00000000317.11|Bcl6b	158	145	80	92	92	110	46	42	80	92	50	48
ENSMUSG00000000325.16|Arvcf	206	233	199	202	128	115	98	96	70	80	62	58
ENSMUSG00000000326.13|Comt	1412	1604	1553	1925	1249	1268	1148	1407	1295	1447	1436	1423
ENSMUSG00000000339.14|Rtca	709	869	724	872	641	739	511	673	847	891	914	971
ENSMUSG00000000340.10|Dbt	1016	1194	1296	1534	1013	984	1193	1332	976	1042	1321	1380
