© 2000-2020 QIAGEN. All rights reserved.

Upstream Regulator	Expr Log Ratio	Molecule Type	Predicted Activation State	Activation z-score	p-value of overlap	Target Molecules in Dataset	Mechanistic Network
nelfinavir	 	chemical drug	Inhibited	-3.376	1.17E-13	ADM2,ALDH1L2,ANGPTL6,ATF4,CHAC1,CTH,DDR2,GPT2,MAATS1,PSPH,SLC6A9,TRIB3	 
ATF4	-1.383	transcription regulator	Inhibited	-2.628	1.48E-13	AREG,ATF4,BCAT1,CHAC1,CTH,DDR2,GDF15,IHH,PSPH,PYCR1,SLC6A9,SLC7A3,SLC7A5,SNAI2,TRIB3	15 (2)
EIF2S1	-0.152	translation regulator	Inhibited	-2.781	1.56E-09	ADM2,ALDH1L2,ANGPTL6,ATF4,CHAC1,MAATS1,SLC6A9,TRIB3	 
diethylstilbestrol	 	chemical drug	 	-0.266	1.24E-08	ADM2,AQP9,AREG,BCAT1,GABRP,GJB2,IGFBP3,KRT13,PADI4,PAMR1,PIGR,SOCS2,Sprr2a1/Sprr2a2,WNT4	44 (6)
UCP1	 	transporter	 	-1.897	1.03E-07	ATF4,CTH,GDF15,OTUB2,PSPH,PYCR1,REEP6,SERPINE1,SLC6A9,TRIB3	 
beta-estradiol	 	chemical - endogenous mammalian	 	1.143	1.72E-07	ACSM3,ADM2,AGT,AREG,BCAT1,CLCA1,CPM,DIO1,GABRP,GJB2,GPT2,GSTP1,HAS2,IGFBP3,KRT13,LGR5,LHFPL2,MMP3,OTUB2,PADI4,PAMR1,PIGR,PODN,PPP1R1B,PYCR1,SERPINE1,SLC6A9,SLC7A5,SNAI2,SOCS2,SOX11,Sprr2a1/Sprr2a2,TFPI,WNT4	61 (11)
ALDH2	-0.064	enzyme	Activated	2.219	3.02E-07	ATF4,CTH,PSPH,SLC7A3,SLC7A5	 
1,4-bis[2-(3,5-dichloropyridyloxy)]benzene	 	chemical toxicant	 	0.597	9.71E-07	CCN4,Ces2a,CYP2C9,DIO1,GSTP1,HMGCS2,STEAP4,Sult1d1	13 (3)
Growth hormone	 	group	 	-0.520	2.49E-06	AGT,CDH3,CTH,CYP2C9,GDF15,GSTP1,IGFBP3,Pzp,SLCO1A2,SOCS2	56 (17)
mifepristone	 	chemical drug	 	1.380	2.95E-06	AREG,BCAT1,CKMT1A/CKMT1B,HAS2,IGFBP3,MMP3,SERPINE1,SOX11,Sprr2a1/Sprr2a2,Sult1d1,TFPI	52 (17)
HDL-cholesterol	 	complex	Activated	2.236	3.64E-06	ALDH1L2,CHAC1,DDR2,GPT2,TRIB3	 
CTNNB1	-0.081	transcription regulator	 	0.074	4.48E-06	CCN4,Cd52,Csn1s1,DIO1,GJB2,GPX2,HMGCS2,IHH,LECT2,LGR5,MMP3,MPZL2,NOX1,SERPINE1,SERPINE2,SNAI2,SOX11,WNT4	45 (11)
histidinol	 	chemical - endogenous mammalian	 	 	5.01E-06	ATF4,GPT2,SLC7A5	 
NR1I3	 	ligand-dependent nuclear receptor	 	1.266	6.42E-06	CCN4,Ces2a,CYP2C9,DIO1,GSTP1,STEAP4,Sult1d1	12 (2)
ADAM12	 	peptidase	 	1.454	8.50E-06	GDF15,IGFBP3,MMP3,Nepn,SERPINE1,SERPINE2	50 (11)
IFNG	 	cytokine	 	-1.472	1.35E-05	AGT,AQP9,AREG,ATF4,CHAC1,CKMT1A/CKMT1B,CYP2C9,DDR2,DIO1,GDF15,GJB2,GSTP1,Gvin1 (includes others),HAS2,IL15RA,IL19,MMP3,NOX1,PIGR,PPP1R1B,SERPINE1,SLC7A5,SNAI2,SOCS2	56 (16)
HNF1A	0.050	transcription regulator	Activated	2.607	1.44E-05	AGT,ALDOB,AQP9,CCDC198,CYP2C9,GPX2,IHH,MELTF,PAMR1,PIGR,SERPINE1,Sult1d1,TMPRSS4	31 (7)
PPARGC1A	0.521	transcription regulator	 	0.791	1.80E-05	AGT,CCN4,CYP2C9,DIO1,GDF15,HMGCS2,IGFBP3,PODN,SEMA3G,SERPINE2,TRIB3	 
TRIB3	-1.901	kinase	Activated	2.000	2.49E-05	CTH,GDF15,PSPH,TRIB3	15 (3)
cigarette smoke	 	chemical toxicant	 	-1.969	4.04E-05	AREG,ATF4,GPX2,GSTP1,MMP3,PGF,SERPINE1,SLC6A9,SOCS2	43 (10)
PPP1R15B	-0.130	phosphatase	 	 	4.04E-05	ATF4,CHAC1,TRIB3	 
PPARA	 	ligand-dependent nuclear receptor	 	0.667	4.21E-05	ALDOB,AQP9,CTH,Cyp2c40 (includes others),CYP2C9,DIO1,GSTP1,HMGCS2,IGFBP3,LECT2,RBP2,SOCS2	 
lipopolysaccharide	 	chemical drug	 	-0.203	4.34E-05	AGT,AREG,ATF4,CCN4,Cd52,CTH,CYP2C9,FYB1,GJB2,GSTP1,HMGCS2,IGFBP3,IL15RA,IL19,KRT13,MELTF,MMP3,NOX1,PIGR,PLD4,SEMA3G,SERPINE1,SERPINE2,SOCS2,Sprr2a1/Sprr2a2,STEAP4,TFPI,TRIB3	54 (15)
NOX4	 	enzyme	 	 	6.35E-05	AGT,CTH,HAS2,SERPINE1	 
levothyroxine	 	chemical - endogenous mammalian	 	0.447	6.92E-05	CYP2C9,DIO1,GDF15,IGFBP3,SLC7A3	 
laquinimod	 	chemical drug	 	-0.128	7.53E-05	GPT2,MPZL2,PGF,PPP1R14D,SERPINB8,WNT4	 
FGF2	 	growth factor	Inhibited	-3.043	8.43E-05	AREG,ATF4,CCN4,HAS2,IGFBP3,MMP3,PGF,SERPINE1,SNAI2,TFPI,WNT4	53 (18)
clopidogrel	 	chemical drug	Inhibited	-2.177	8.54E-05	ALDH1L2,CHAC1,CTH,GPT2,TRIB3	 
NR1I2	 	ligand-dependent nuclear receptor	 	0.943	8.62E-05	Ces2a,CTH,CYP2C9,GSTP1,HMGCS2,SLCO1A2,Sult1d1	 
bucladesine	 	chemical toxicant	 	-0.633	9.45E-05	CYP2C9,DIO1,GDF15,GSTP1,HAS2,IGFBP3,NOX1,PADI4,SERPINE1,WNT4	48 (12)
TRAF3IP2	0.067	other	 	0.314	1.04E-04	AGT,CDH3,IL19,MMP3,STEAP4	47 (12)
HNF1B	0.081	transcription regulator	 	1.067	1.11E-04	ALDOB,IGFBP3,IHH,MPZL2,SNAI2,Sult1d1	 
TNF	0.277	cytokine	 	-0.332	1.18E-04	AGT,AQP9,ATF4,CCN4,CDH3,CHST4,DIO1,FAT2,GDF15,GSTP1,HAS2,IGFBP3,IL15RA,IL19,LGR5,MMP3,NOX1,PIGR,PIK3CD,Ppbp,SERPINB8,SERPINE1,SERPINE2,SOCS2,STEAP4,TFPI	46 (12)
ESR2	 	ligand-dependent nuclear receptor	 	 	1.23E-04	AGT,BCAT1,CPM,GSTP1,IGFBP3,MMP3,OTUB2,PYCR1,SERPINE1,SNAI2,SOCS2,SOX11	57 (14)
